STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDD,Missing,Consecutive Missing,HTDD,Missing,Consecutive Missing,DT90,Missing,Consecutive Missing,DX32,Missing,Consecutive Missing,DT00,Missing,Consecutive Missing,DT32,Missing,Consecutive Missing,DP01,Missing,Consecutive Missing,DP05,Missing,Consecutive Missing,DP10,Missing,Consecutive Missing,EMXP,Missing,Consecutive Missing,MXSD,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,EMXT,Missing,Consecutive Missing,EMNT,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing,MMNT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:ARM00087289,PASO DE LOS LIBRES AR,70.1,-29.689,-57.152,20130401,33,15,3,1,15,3,0,16,3,0,16,3,0,6,2,0,6,2,3,0,0,2,0,0,1,0,0,47.0,0,0,-9999,0,0,70.9,0,0,31.5,16,3,8.0,6,2,27.3,16,3,14.3,6,2,21.0,15,3
GHCND:ARM00087289,PASO DE LOS LIBRES AR,70.1,-29.689,-57.152,20130501,13,13,4,34,13,4,0,16,4,0,16,4,0,5,1,0,5,1,4,0,0,2,0,0,2,0,0,39.1,0,0,-9999,0,0,91.2,0,0,27.8,16,4,2.6,5,1,22.1,16,4,11.9,5,1,16.5,13,4
GHCND:ARM00087289,PASO DE LOS LIBRES AR,70.1,-29.689,-57.152,20130601,2,7,2,32,7,2,0,17,7,0,17,7,0,6,2,0,6,2,2,0,0,1,0,0,0,0,0,19.1,0,0,-9999,0,0,25.5,0,0,29.2,17,7,4.2,6,2,20.4,17,7,8.9,6,2,14.9,7,2
GHCND:ARM00087289,PASO DE LOS LIBRES AR,70.1,-29.689,-57.152,20130701,4,16,5,46,16,5,0,18,5,0,18,5,0,7,2,0,7,2,7,0,0,4,0,0,1,0,0,29.0,0,0,-9999,0,0,117.3,0,0,27.2,18,5,0.5,7,2,21.2,18,5,7.8,7,2,14.1,16,5
GHCND:ARM00087289,PASO DE LOS LIBRES AR,70.1,-29.689,-57.152,20130801,1,11,5,59,11,5,0,14,5,0,14,5,0,6,2,2,6,2,0,0,0,0,0,0,0,0,0,2.0,0,0,-9999,0,0,9.1,0,0,30.7,14,5,-1.4,6,2,18.6,14,5,6.5,6,2,11.1,11,5
GHCND:ARM00087289,PASO DE LOS LIBRES AR,70.1,-29.689,-57.152,20130901,27,15,4,36,15,4,2,12,4,0,12,4,0,10,2,0,10,2,1,0,0,1,0,0,1,0,0,27.9,0,0,-9999,0,0,30.9,0,0,36.4,12,4,3.0,10,2,23.4,12,4,11.3,10,2,17.6,15,4
GHCND:ARM00087289,PASO DE LOS LIBRES AR,70.1,-29.689,-57.152,20131001,17,9,3,0,9,3,2,19,5,0,19,5,0,11,3,0,11,3,4,0,0,2,0,0,1,0,0,55.9,0,0,-9999,0,0,83.2,0,0,35.0,19,5,5.9,11,3,28.7,19,5,13.9,11,3,21.1,9,3
GHCND:ARM00087289,PASO DE LOS LIBRES AR,70.1,-29.689,-57.152,20131101,23,8,6,0,8,6,5,18,6,0,18,6,0,9,4,0,9,4,6,0,0,5,0,0,4,0,0,64.3,0,0,-9999,0,0,219.2,0,0,33.0,18,6,12.0,9,4,31.1,18,6,17.2,9,4,24.0,8,6
GHCND:ARM00087289,PASO DE LOS LIBRES AR,70.1,-29.689,-57.152,20131201,87,14,5,0,14,5,11,17,5,0,17,5,0,7,5,0,7,5,3,0,0,1,0,0,0,0,0,21.1,0,0,-9999,0,0,31.2,0,0,39.8,17,5,14.9,7,5,34.5,17,5,20.7,7,5,28.0,14,5
GHCND:ARM00087641,AZUL AERO AR,147,-36.833,-59.883,20130101,72,12,3,4,12,3,5,12,3,0,12,3,0,1,1,0,1,1,2,0,0,1,0,0,1,0,0,49.0,0,0,-9999,0,0,55.1,0,0,36.0,12,3,5.0,1,1,29.9,12,3,13.8,1,1,22.1,12,3
GHCND:ARM00087641,AZUL AERO AR,147,-36.833,-59.883,20130201,43,13,3,4,13,3,5,13,3,0,13,3,0,1,1,0,1,1,2,0,0,1,0,0,1,0,0,38.1,0,0,-9999,0,0,45.7,0,0,33.4,13,3,2.0,1,1,29.9,13,3,11.5,1,1,21.1,13,3
GHCND:ARM00087641,AZUL AERO AR,147,-36.833,-59.883,20130301,7,9,2,62,9,2,0,9,2,0,9,2,0,0,0,0,0,0,6,0,0,2,0,0,1,0,0,83.1,0,0,-9999,0,0,123.7,0,0,28.2,9,2,0.9,0,0,23.8,9,2,7.8,0,0,15.8,9,2
GHCND:ARM00087641,AZUL AERO AR,147,-36.833,-59.883,20130401,2,12,2,30,12,2,0,12,2,0,12,2,0,0,0,0,0,0,7,0,0,4,0,0,2,0,0,64.0,0,0,-9999,0,0,144.7,0,0,27.5,12,2,1.5,0,0,24.3,12,2,8.4,0,0,16.6,12,2
GHCND:ARM00087641,AZUL AERO AR,147,-36.833,-59.883,20130501,0,12,3,143,12,3,0,12,3,0,12,3,0,0,0,9,0,0,5,0,0,1,0,0,0,0,0,18.0,0,0,-9999,0,0,46.0,0,0,23.4,12,3,-1.5,0,0,18.3,12,3,3.1,0,0,10.8,12,3
GHCND:ARM00087641,AZUL AERO AR,147,-36.833,-59.883,20130601,0,16,2,143,16,2,0,16,2,0,16,2,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,5.1,0,0,-9999,0,0,6.6,0,0,22.2,16,2,-6.6,0,0,16.0,16,2,0.0,0,0,8.1,16,2
GHCND:ARM00087641,AZUL AERO AR,147,-36.833,-59.883,20130701,0,13,3,192,13,3,0,13,3,0,13,3,0,0,0,15,0,0,3,0,0,0,0,0,0,0,0,9.9,0,0,-9999,0,0,26.1,0,0,19.6,13,3,-4.3,0,0,14.2,13,3,0.4,0,0,7.7,13,3
GHCND:ARM00087641,AZUL AERO AR,147,-36.833,-59.883,20130801,0,13,3,193,13,3,0,13,3,0,13,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,-9999,0,0,3.5,0,0,28.5,13,3,-7.8,0,0,16.1,13,3,-0.5,0,0,7.6,13,3
GHCND:ARM00087641,AZUL AERO AR,147,-36.833,-59.883,20130901,1,11,3,123,11,3,0,11,3,0,11,3,0,4,2,6,4,2,5,0,0,2,0,0,1,0,0,30.0,0,0,-9999,0,0,63.4,0,0,26.2,11,3,-4.3,4,2,16.7,11,3,3.0,4,2,10.2,11,3
GHCND:ARM00087641,AZUL AERO AR,147,-36.833,-59.883,20131001,6,14,4,64,14,4,0,14,4,0,14,4,0,1,1,1,1,1,5,0,0,2,0,0,0,0,0,20.1,0,0,-9999,0,0,60.9,0,0,28.0,14,4,-0.4,1,1,21.9,14,4,7.1,1,1,14.9,14,4
GHCND:ARM00087641,AZUL AERO AR,147,-36.833,-59.883,20131101,17,13,2,14,13,2,0,13,2,0,13,2,0,2,1,0,2,1,6,0,0,2,0,0,1,0,0,30.0,0,0,-9999,0,0,84.1,0,0,31.0,13,2,4.4,2,1,26.1,13,2,9.9,2,1,18.5,13,2
GHCND:ARM00087641,AZUL AERO AR,147,-36.833,-59.883,20131201,93,17,4,2,17,4,11,17,4,0,17,4,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,32.0,0,0,-9999,0,0,48.0,0,0,38.5,17,4,1.5,0,0,33.7,17,4,14.3,0,0,24.8,17,4
GHCND:AR000087155,RESISTENCIA AERO AR,53,-27.45,-59.05,20130101,121,16,4,0,16,4,12,16,4,0,16,4,0,5,1,0,5,1,5,0,0,4,0,0,1,0,0,96.0,0,0,-9999,0,0,163.4,0,0,38.0,16,4,13.5,5,1,33.7,16,4,20.4,5,1,27.6,16,4
GHCND:AR000087155,RESISTENCIA AERO AR,53,-27.45,-59.05,20130201,76,12,3,0,12,3,9,13,3,0,13,3,0,9,2,0,9,2,5,0,0,4,0,0,3,0,0,52.1,0,0,-9999,0,0,137.3,0,0,40.5,13,3,13.6,9,2,33.7,13,3,19.4,9,2,25.9,12,3
GHCND:AR000087155,RESISTENCIA AERO AR,53,-27.45,-59.05,20130301,58,10,3,0,10,3,3,10,3,0,10,3,0,5,3,0,5,3,8,0,0,8,0,0,7,0,0,57.9,0,0,-9999,0,0,279.3,0,0,36.6,10,3,13.1,5,3,29.0,10,3,17.2,5,3,22.4,10,3
GHCND:AR000087155,RESISTENCIA AERO AR,53,-27.45,-59.05,20130401,40,14,3,1,14,3,2,15,3,0,15,3,0,6,1,0,6,1,4,0,0,3,0,0,3,0,0,49.0,0,0,-9999,0,0,130.1,0,0,33.6,15,3,8.5,6,1,28.6,15,3,15.4,6,1,21.9,14,3
GHCND:AR000087155,RESISTENCIA AERO AR,53,-27.45,-59.05,20130501,14,10,4,14,10,4,2,18,5,0,18,5,0,6,1,0,6,1,5,0,0,3,0,0,2,0,0,47.0,0,0,-9999,0,0,124.5,0,0,32.9,18,5,5.3,6,1,24.1,18,5,13.5,6,1,18.2,10,4
GHCND:AR000087155,RESISTENCIA AERO AR,53,-27.45,-59.05,20130601,5,14,3,37,14,3,0,14,3,0,14,3,0,6,2,0,6,2,4,0,0,2,0,0,2,0,0,43.9,0,0,-9999,0,0,99.8,0,0,27.5,14,3,3.8,6,2,21.6,14,3,10.0,6,2,15.6,14,3
GHCND:AR000087155,RESISTENCIA AERO AR,53,-27.45,-59.05,20130701,9,13,7,27,13,7,0,20,7,0,20,7,0,4,1,2,4,1,2,0,0,1,0,0,0,0,0,15.0,0,0,-9999,0,0,25.0,0,0,31.2,20,7,-3.0,4,1,21.6,20,7,9.7,4,1,15.8,13,7
GHCND:AR000087155,RESISTENCIA AERO AR,53,-27.45,-59.05,20130801,2,4,1,37,4,1,2,14,4,0,14,4,0,7,2,3,7,2,2,0,0,0,0,0,0,0,0,9.9,0,0,-9999,0,0,16.1,0,0,34.4,14,4,-2.6,7,2,21.1,14,4,7.8,7,2,12.6,4,1
GHCND:AR000087155,RESISTENCIA AERO AR,53,-27.45,-59.05,20130901,22,11,4,9,11,4,4,15,4,0,15,4,0,10,4,0,10,4,4,0,0,0,0,0,0,0,0,8.9,0,0,-9999,0,0,30.2,0,0,37.6,15,4,1.9,10,4,26.9,15,4,11.0,10,4,20.1,11,4
GHCND:AR000087155,RESISTENCIA AERO AR,53,-27.45,-59.05,20131001,39,17,4,2,17,4,3,19,4,0,19,4,0,5,1,0,5,1,4,0,0,2,0,0,1,0,0,67.1,0,0,-9999,0,0,102.0,0,0,36.5,19,4,5.0,5,1,31.1,19,4,15.4,5,1,23.6,17,4
GHCND:AR000087155,RESISTENCIA AERO AR,53,-27.45,-59.05,20131101,65,15,4,0,15,4,6,18,4,0,18,4,0,4,1,0,4,1,7,0,0,4,0,0,4,0,0,125.0,0,0,-9999,0,0,266.7,0,0,36.0,18,4,11.9,4,1,32.6,18,4,18.3,4,1,25.5,15,4
GHCND:AR000087155,RESISTENCIA AERO AR,53,-27.45,-59.05,20131201,133,14,4,0,14,4,13,16,4,0,16,4,0,5,1,0,5,1,2,0,0,1,0,0,1,0,0,33.0,0,0,-9999,0,0,41.1,0,0,39.4,16,4,17.4,5,1,36.0,16,4,21.7,5,1,29.4,14,4
GHCND:PAM00086170,GRAL. BRUGUEZ AR,86,-24.75,-58.833,20130101,157,15,4,0,15,4,16,15,4,0,15,4,0,2,1,0,2,1,1,0,0,0,0,0,0,0,0,4.8,0,0,-9999,0,0,5.8,0,0,41.6,15,4,15.1,2,1,36.8,15,4,21.8,2,1,29.5,15,4
GHCND:PAM00086170,GRAL. BRUGUEZ AR,86,-24.75,-58.833,20130201,152,12,3,0,12,3,14,11,3,0,11,3,0,3,1,0,3,1,5,0,0,4,0,0,4,0,0,68.3,0,0,-9999,0,0,221.4,0,0,41.5,11,3,17.4,3,1,35.8,11,3,22.3,3,1,29.1,12,3
GHCND:PAM00086170,GRAL. BRUGUEZ AR,86,-24.75,-58.833,20130301,81,16,4,0,16,4,5,14,4,0,14,4,0,8,4,0,8,4,2,0,0,1,0,0,1,0,0,41.4,0,0,-9999,0,0,48.3,0,0,38.2,14,4,12.2,8,4,30.9,14,4,18.9,8,4,25.0,16,4
GHCND:PAM00086170,GRAL. BRUGUEZ AR,86,-24.75,-58.833,20130401,47,17,4,1,17,4,3,16,4,0,16,4,0,6,2,0,6,2,4,0,0,2,0,0,0,0,0,23.6,0,0,-9999,0,0,66.0,0,0,36.5,16,4,8.6,6,2,29.2,16,4,16.3,6,2,22.5,17,4
GHCND:PAM00086170,GRAL. BRUGUEZ AR,86,-24.75,-58.833,20130501,47,19,10,6,19,10,4,19,10,0,19,10,0,11,8,0,11,8,5,0,0,3,0,0,0,0,0,23.9,0,0,-9999,0,0,68.6,0,0,35.4,19,10,6.8,11,8,29.2,19,10,14.4,11,8,22.4,19,10
GHCND:PAM00086170,GRAL. BRUGUEZ AR,86,-24.75,-58.833,20130601,18,12,4,11,12,4,0,15,4,0,15,4,0,8,2,0,8,2,6,0,0,2,0,0,1,0,0,33.0,0,0,-9999,0,0,76.8,0,0,29.2,15,4,6.0,8,2,24.8,15,4,12.9,8,2,19.1,12,4
GHCND:PAM00086170,GRAL. BRUGUEZ AR,86,-24.75,-58.833,20130701,32,17,10,3,17,10,1,20,10,0,20,10,0,5,2,3,5,2,0,0,0,0,0,0,0,0,0,1.5,0,0,-9999,0,0,1.5,0,0,32.4,20,10,-3.8,5,2,28.0,20,10,11.3,5,2,21.3,17,10
GHCND:PAM00086170,GRAL. BRUGUEZ AR,86,-24.75,-58.833,20130801,33,15,4,29,15,4,3,14,4,0,14,4,0,5,2,4,5,2,1,0,0,1,0,0,1,0,0,32.0,0,0,-9999,0,0,32.0,0,0,35.5,14,4,-4.2,5,2,25.2,14,4,9.2,5,2,18.7,15,4
GHCND:PAM00086170,GRAL. BRUGUEZ AR,86,-24.75,-58.833,20130901,77,15,4,12,15,4,8,14,4,0,14,4,0,7,2,0,7,2,2,0,0,0,0,0,0,0,0,10.7,0,0,-9999,0,0,20.1,0,0,38.0,14,4,3.4,7,2,30.8,14,4,14.7,7,2,23.0,15,4
GHCND:PAM00086170,GRAL. BRUGUEZ AR,86,-24.75,-58.833,20131001,46,9,3,1,9,3,5,17,6,0,17,6,0,7,2,0,7,2,7,0,0,5,0,0,3,0,0,58.4,0,0,-9999,0,0,164.5,0,0,37.2,17,6,8.2,7,2,31.4,17,6,17.3,7,2,24.0,9,3
GHCND:PAM00086170,GRAL. BRUGUEZ AR,86,-24.75,-58.833,20131101,74,9,2,0,9,2,11,14,6,0,14,6,0,6,2,0,6,2,5,0,0,2,0,0,1,0,0,32.3,0,0,-9999,0,0,66.0,0,0,38.5,14,6,12.6,6,2,33.9,14,6,19.3,6,2,26.6,9,2
GHCND:PAM00086170,GRAL. BRUGUEZ AR,86,-24.75,-58.833,20131201,179,14,2,0,14,2,17,14,2,0,14,2,0,1,1,0,1,1,5,0,0,1,0,0,1,0,0,48.0,0,0,-9999,0,0,66.8,0,0,39.6,14,2,18.2,1,1,36.4,14,2,22.5,1,1,29.5,14,2
GHCND:AR000087270,RECONQUISTA AERO AR,53,-29.183,-59.7,20130101,103,11,4,0,11,4,11,16,4,0,16,4,0,6,1,0,6,1,5,0,0,5,0,0,4,0,0,146.1,0,0,-9999,0,0,266.3,0,0,36.5,16,4,15.0,6,1,33.0,16,4,20.5,6,1,26.9,11,4
GHCND:AR000087270,RECONQUISTA AERO AR,53,-29.183,-59.7,20130201,79,14,4,0,14,4,8,13,4,0,13,4,0,2,1,0,2,1,4,0,0,1,0,0,1,0,0,52.1,0,0,-9999,0,0,77.9,0,0,39.8,13,4,14.0,2,1,32.2,13,4,19.5,2,1,25.5,14,4
GHCND:AR000087270,RECONQUISTA AERO AR,53,-29.183,-59.7,20130301,48,13,4,0,13,4,1,14,4,0,14,4,0,1,1,0,1,1,8,0,0,4,0,0,4,0,0,46.0,0,0,-9999,0,0,182.6,0,0,36.0,14,4,12.0,1,1,28.1,14,4,16.7,1,1,22.0,13,4
GHCND:AR000087270,RECONQUISTA AERO AR,53,-29.183,-59.7,20130401,52,13,4,4,13,4,1,14,4,0,14,4,0,1,1,0,1,1,4,0,0,3,0,0,1,0,0,57.9,0,0,-9999,0,0,105.9,0,0,32.6,14,4,8.1,1,1,27.7,14,4,14.8,1,1,21.5,13,4
GHCND:AR000087270,RECONQUISTA AERO AR,53,-29.183,-59.7,20130501,10,15,5,34,15,5,0,18,5,0,18,5,0,2,1,0,2,1,6,0,0,3,0,0,2,0,0,80.0,0,0,-9999,0,0,153.4,0,0,29.6,18,5,4.1,2,1,21.3,18,5,12.3,2,1,16.1,15,5
GHCND:AR000087270,RECONQUISTA AERO AR,53,-29.183,-59.7,20130601,3,13,4,45,13,4,0,14,4,0,14,4,0,2,1,0,2,1,2,0,0,0,0,0,0,0,0,7.9,0,0,-9999,0,0,14.3,0,0,27.6,14,4,2.8,2,1,20.5,14,4,9.2,2,1,15.1,13,4
GHCND:AR000087270,RECONQUISTA AERO AR,53,-29.183,-59.7,20130701,7,15,2,54,15,2,0,16,2,0,16,2,0,2,1,1,2,1,5,0,0,0,0,0,0,0,0,10.9,0,0,-9999,0,0,34.0,0,0,29.9,16,2,-1.8,2,1,21.1,16,2,9.1,2,1,14.7,15,2
GHCND:AR000087270,RECONQUISTA AERO AR,53,-29.183,-59.7,20130801,3,10,2,69,10,2,1,13,4,0,13,4,0,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0.8,0,0,-9999,0,0,0.8,0,0,33.8,13,4,-3.0,2,1,19.2,13,4,7.3,2,1,12.8,10,2
GHCND:AR000087270,RECONQUISTA AERO AR,53,-29.183,-59.7,20130901,12,20,10,20,20,10,0,20,10,0,20,10,0,3,1,0,3,1,3,0,0,1,0,0,1,0,0,35.1,0,0,-9999,0,0,49.7,0,0,31.9,20,10,2.5,3,1,24.2,20,10,11.6,3,1,17.4,20,10
GHCND:AR000087270,RECONQUISTA AERO AR,53,-29.183,-59.7,20131001,48,19,5,0,19,5,5,19,5,0,19,5,0,2,1,0,2,1,2,0,0,0,0,0,0,0,0,9.9,0,0,-9999,0,0,23.1,0,0,36.6,19,5,5.1,2,1,30.8,19,5,14.2,2,1,23.6,19,5
GHCND:AR000087270,RECONQUISTA AERO AR,53,-29.183,-59.7,20131101,71,10,3,0,10,3,7,14,3,0,14,3,0,4,1,0,4,1,7,0,0,4,0,0,3,0,0,49.0,0,0,-9999,0,0,144.5,0,0,34.6,14,3,11.4,4,1,30.5,14,3,17.4,4,1,24.2,10,3
GHCND:AR000087270,RECONQUISTA AERO AR,53,-29.183,-59.7,20131201,164,13,3,0,13,3,13,14,3,0,14,3,0,1,1,0,1,1,2,0,0,2,0,0,1,0,0,27.9,0,0,-9999,0,0,48.0,0,0,40.0,14,3,16.8,1,1,35.1,14,3,21.3,1,1,28.5,13,3
GHCND:ARM00087480,ROSARIO AR,25.9,-32.904,-60.785,20130101,79,13,4,0,13,4,8,16,4,0,16,4,0,5,1,0,5,1,5,0,0,2,0,0,1,0,0,36.1,0,0,-9999,0,0,66.9,0,0,37.1,16,4,9.1,5,1,32.8,16,4,17.8,5,1,25.5,13,4
GHCND:ARM00087480,ROSARIO AR,25.9,-32.904,-60.785,20130201,77,13,4,2,13,4,5,13,4,0,13,4,0,1,1,0,1,1,9,0,0,2,0,0,1,0,0,27.9,0,0,-9999,0,0,98.1,0,0,36.8,13,4,10.3,1,1,30.5,13,4,17.4,1,1,24.1,13,4
GHCND:ARM00087480,ROSARIO AR,25.9,-32.904,-60.785,20130301,24,14,4,9,14,4,1,12,4,0,12,4,0,3,1,0,3,1,4,0,0,1,0,0,0,0,0,23.9,0,0,-9999,0,0,39.6,0,0,33.5,12,4,8.8,3,1,26.2,12,4,13.9,3,1,19.6,14,4
GHCND:ARM00087480,ROSARIO AR,25.9,-32.904,-60.785,20130401,32,11,2,12,11,2,1,13,2,0,13,2,0,2,1,0,2,1,4,0,0,0,0,0,0,0,0,5.1,0,0,-9999,0,0,18.9,0,0,32.3,13,2,2.5,2,1,26.6,13,2,11.6,2,1,19.5,11,2
GHCND:ARM00087480,ROSARIO AR,25.9,-32.904,-60.785,20130501,5,14,3,38,14,3,0,16,3,0,16,3,0,8,2,1,8,2,5,0,0,3,0,0,1,0,0,39.1,0,0,-9999,0,0,86.1,0,0,26.3,16,3,-1.1,8,2,22.1,16,3,7.4,8,2,15.3,14,3
GHCND:ARM00087480,ROSARIO AR,25.9,-32.904,-60.785,20130601,1,13,4,84,13,4,0,16,4,0,16,4,0,1,1,5,1,1,2,0,0,0,0,0,0,0,0,4.1,0,0,-9999,0,0,9.1,0,0,27.3,16,4,-3.9,1,1,19.5,16,4,4.3,1,1,11.9,13,4
GHCND:ARM00087480,ROSARIO AR,25.9,-32.904,-60.785,20130701,1,12,3,60,12,3,0,16,3,0,16,3,0,5,2,4,5,2,2,0,0,1,0,0,0,0,0,19.1,0,0,-9999,0,0,26.0,0,0,25.5,16,3,-5.8,5,2,18.0,16,3,4.2,5,2,12.3,12,3
GHCND:ARM00087480,ROSARIO AR,25.9,-32.904,-60.785,20130801,0,14,3,80,14,3,0,18,4,0,18,4,0,3,1,11,3,1,0,0,0,0,0,0,0,0,0,0.0,0,0,-9999,0,0,0.0,0,0,27.3,18,4,-5.6,3,1,19.8,18,4,1.9,3,1,10.4,14,3
GHCND:ARM00087480,ROSARIO AR,25.9,-32.904,-60.785,20130901,15,14,4,43,14,4,1,18,5,0,18,5,0,5,2,0,5,2,3,0,0,1,0,0,0,0,0,20.1,0,0,-9999,0,0,38.9,0,0,37.3,18,5,1.6,5,2,22.2,18,5,9.2,5,2,15.7,14,4
GHCND:ARM00087480,ROSARIO AR,25.9,-32.904,-60.785,20131001,41,17,5,5,17,5,1,16,5,0,16,5,0,5,1,0,5,1,5,0,0,1,0,0,0,0,0,19.1,0,0,-9999,0,0,41.0,0,0,35.4,16,5,4.1,5,1,28.1,16,5,13.0,5,1,21.6,17,5
GHCND:ARM00087480,ROSARIO AR,25.9,-32.904,-60.785,20131101,40,11,3,0,11,3,2,16,5,0,16,5,0,4,1,0,4,1,9,0,0,7,0,0,2,0,0,119.9,0,0,-9999,0,0,247.2,0,0,34.2,16,5,11.9,4,1,28.1,16,5,16.2,4,1,22.8,11,3
GHCND:ARM00087480,ROSARIO AR,25.9,-32.904,-60.785,20131201,89,17,6,0,17,6,10,17,6,0,17,6,0,10,2,0,10,2,4,0,0,1,0,0,1,0,0,57.9,0,0,-9999,0,0,68.9,0,0,38.2,17,6,14.6,10,2,33.8,17,6,20.7,10,2,27.2,17,6
GHCND:AR000087623,SANTA ROSA AERO AR,192,-36.567,-64.266,20130101,91,15,4,2,15,4,8,15,4,0,15,4,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,13.0,0,0,-9999,0,0,38.9,0,0,38.7,15,4,7.4,0,0,33.1,15,4,16.3,0,0,25.2,15,4
GHCND:AR000087623,SANTA ROSA AERO AR,192,-36.567,-64.266,20130201,99,12,4,0,12,4,10,12,4,0,12,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10.9,0,0,-9999,0,0,24.6,0,0,38.1,12,4,5.7,0,0,32.9,12,4,14.9,0,0,24.5,12,4
GHCND:AR000087623,SANTA ROSA AERO AR,192,-36.567,-64.266,20130301,20,16,3,20,16,3,2,16,3,0,16,3,0,2,1,0,2,1,4,0,0,2,0,0,1,0,0,38.1,0,0,-9999,0,0,82.9,0,0,32.5,16,3,3.8,2,1,26.5,16,3,10.3,2,1,18.3,16,3
GHCND:AR000087623,SANTA ROSA AERO AR,192,-36.567,-64.266,20130401,21,13,3,13,13,3,0,13,3,0,13,3,0,1,1,0,1,1,6,0,0,1,0,0,0,0,0,22.1,0,0,-9999,0,0,72.0,0,0,31.9,13,3,5.0,1,1,26.6,13,3,10.8,1,1,18.8,13,3
GHCND:AR000087623,SANTA ROSA AERO AR,192,-36.567,-64.266,20130501,1,15,5,83,15,5,0,15,5,0,15,5,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,7.1,0,0,-9999,0,0,7.1,0,0,27.7,15,5,-6.1,0,0,21.6,15,5,4.3,0,0,13.2,15,5
GHCND:AR000087623,SANTA ROSA AERO AR,192,-36.567,-64.266,20130601,0,14,3,100,14,3,0,14,3,0,14,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,-9999,0,0,0.3,0,0,26.8,14,3,-6.7,0,0,20.6,14,3,1.9,0,0,11.7,14,3
GHCND:AR000087623,SANTA ROSA AERO AR,192,-36.567,-64.266,20130701,0,18,5,113,18,5,0,18,5,0,18,5,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,5.1,0,0,-9999,0,0,10.2,0,0,24.9,18,5,-4.9,0,0,16.5,18,5,1.5,0,0,9.6,18,5
GHCND:AR000087623,SANTA ROSA AERO AR,192,-36.567,-64.266,20130801,1,18,6,91,18,6,0,18,6,0,18,6,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,7.1,0,0,-9999,0,0,7.1,0,0,29.2,18,6,-5.0,0,0,19.7,18,6,1.5,0,0,11.4,18,6
GHCND:AR000087623,SANTA ROSA AERO AR,192,-36.567,-64.266,20130901,6,15,4,85,15,4,0,15,4,0,15,4,0,2,1,5,2,1,4,0,0,1,0,0,1,0,0,46.0,0,0,-9999,0,0,69.6,0,0,29.0,15,4,-4.4,2,1,20.1,15,4,4.8,2,1,13.0,15,4
GHCND:AR000087623,SANTA ROSA AERO AR,192,-36.567,-64.266,20131001,21,14,4,23,14,4,0,14,4,0,14,4,0,2,1,0,2,1,4,0,0,2,0,0,0,0,0,23.9,0,0,-9999,0,0,50.8,0,0,30.8,14,4,3.7,2,1,25.3,14,4,10.0,2,1,18.1,14,4
GHCND:AR000087623,SANTA ROSA AERO AR,192,-36.567,-64.266,20131101,55,12,4,6,12,4,4,12,4,0,12,4,0,0,0,0,0,0,5,0,0,3,0,0,2,0,0,32.0,0,0,-9999,0,0,92.9,0,0,36.3,12,4,6.1,0,0,29.2,12,4,13.1,0,0,21.8,12,4
GHCND:AR000087623,SANTA ROSA AERO AR,192,-36.567,-64.266,20131201,152,11,3,0,11,3,17,12,3,0,12,3,0,3,2,0,3,2,6,0,0,2,0,0,0,0,0,23.1,0,0,-9999,0,0,65.3,0,0,40.4,12,3,7.4,3,2,36.3,12,3,17.4,3,2,27.3,11,3
GHCND:AR000087344,CORDOBA AERO AR,489,-31.317,-64.217,20130101,60,8,3,0,8,3,7,19,7,0,19,7,0,6,3,0,6,3,5,0,0,4,0,0,0,0,0,23.9,0,0,-9999,0,0,74.9,0,0,35.0,19,7,7.2,6,3,32.8,19,7,16.1,6,3,24.9,8,3
GHCND:AR000087344,CORDOBA AERO AR,489,-31.317,-64.217,20130201,29,10,3,4,10,3,4,14,4,0,14,4,0,7,2,0,7,2,6,0,0,4,0,0,3,0,0,101.1,0,0,-9999,0,0,195.3,0,0,36.3,14,4,9.6,7,2,29.4,14,4,15.6,7,2,22.6,10,3
GHCND:AR000087344,CORDOBA AERO AR,489,-31.317,-64.217,20130301,36,17,3,9,17,3,2,17,3,0,17,3,0,3,2,0,3,2,8,0,0,3,0,0,1,0,0,25.9,0,0,-9999,0,0,93.4,0,0,34.3,17,3,7.7,3,2,26.9,17,3,12.2,3,2,20.2,17,3
GHCND:AR000087344,CORDOBA AERO AR,489,-31.317,-64.217,20130401,26,15,5,3,15,5,0,15,5,0,15,5,0,8,2,0,8,2,5,0,0,1,0,0,1,0,0,71.9,0,0,-9999,0,0,98.8,0,0,30.6,15,5,3.3,8,2,27.4,15,5,10.7,8,2,20.2,15,5
